Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Lhasa Apso,https://cdn.royalcanin-weshare-online.io/GiIpx2oBaxEApS7LOxzD/v1/bd84bl-hub-lhasa-apso-adult-standing?w=320&fm=jpg&auto=compress,"Pese a sus pequeñas dimensiones, el Lhasa Apso es un perro confiado que no le gusta recibir órdenes. De naturaleza despierta, en seguida avisa a los intrusos de su presencia.  Esta raza es un Terrier en todo menos en el nombre, en especial por su carácter seguro y sociable. Su nombre no incluye la denominación Terrier para evitar confusiones con el Terrier Tibetano. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Tíbet,Pequeño,12–15 años,Afable,Seguro,Alerta,Equilibrado,Tímido,,Jardín no esencial,,,,,Requiere muchos cuidados,Necesita poco ejercicio,
Lundehund Noruego,https://cdn.royalcanin-weshare-online.io/j_rbsmoBIYfdNSoCeRg1/v1/bd254bl-hub-norwegian-lundehund-adult-standing?w=320&fm=jpg&auto=compress,"Los lundehunds noruegos son perros tipo spitz de constitución rectangular, bastante ligera y ágil. Siempre en alerta, enérgicos y activos, los lundehunds noruegos están perfectamente diseñados para cazar frailecillos en los fiordos rocosos y en los litorales. Provienen de las islas Lofoten, que se encuentran frente a la ciudad de Bodø, al norte del Círculo Polar Ártico. Estos perros pequeños fueron criados especialmente para los cazadores de frailecillos. Cabe destacar que la población cayó drásticamente después de que se prohibiese esta práctica. La raza actual se basa en solo cinco individuos, lo cual explica su notable homogeneidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Noruega,Pequeño,12–14 años,Alerta,Alegre,Leal,,,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
Mudi,https://cdn.royalcanin-weshare-online.io/jfrZsmoBIYfdNSoCxBix/v5/bd249bl-hub-mudi-adult-standing?w=320&fm=jpg&auto=compress,"Con una agilidad notable, además de realizar tareas de vigilancia y alerta, son muy buenos para detectar narcóticos. El Mudi tiene un pelaje relativamente corto y suave en la cabeza y las patas, mientras que en el resto del cuerpo el pelaje es más largo, ondulado o ligeramente rizado. Esta raza amorosa es ideal para familias y puede vivir en el interior sin problemas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Hungría,Pequeño,13–14 años,Cariñoso,Seguro,Alerta,Seguro,Independiente,Inteligente,Jardín no esencial,,,,,Requiere muchos cuidados,,Un gran perro guardián
Parson Russell Terrier,https://nfnatcane.es/blog/wp-content/uploads/2020/04/físico-del-perro-Parson-Russell-Terrier.jpg,"Estos perros de trabajo activos y ágiles están diseñados para la velocidad y la resistencia. Su carcácter amable y leal hace que el Parson Russell Terrier sea una magnífica mascota familiar. Aunque son pequeños, no hay nada que estos perros disfruten más que correr al aire libre, por lo que no son recomendados para vivir en apartamentos o casas sin jardín. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,13–15 años,Alegre,Ágil,Equilibrado,Seguro,Afable,,Requiere espacio exterior,,,Requiere mucho entrenamiento,,Necesita cuidados moderados,,
Pastor De Los Pirineos,https://cdn.royalcanin-weshare-online.io/pPrssmoBIYfdNSoCxhgd/v1/bd281bl-hub-pyrenean-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Hay distintos tipos que varían considerablemente de un valle a otro, pero, si bien el tamaño y el pelaje pueden ser muy diferentes, su carácter y comportamiento nunca lo son. El primer estándar se publicó entre 1921 y 1925 y prácticamente no ha cambiado desde entonces. La mezcla de pelo grueso y lanoso a veces puede enredarse y acumularse en capas que se superponen sobre la grupa y los muslos. Incluso se pueden encontrar nudos de pelo en el pecho y en la parte frontal de los codos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Francia,Pequeño,15–17 años,Seguro,Alegre,,,,,,,,Disfruta del entrenamiento,,Necesita cuidados moderados,Necesita mucho ejercicio,
Pastor De Los Pirineos De Cara Rasa,https://cdn.royalcanin-weshare-online.io/EPqGH2YBIYfdNSoC0gg5/v1/bd306bl-smooth-faced-pyrenean-shepherd-adult-standing?w=320&fm=jpg&auto=compress,"Esta variedad de Pastor de los Pirineos se encuentra sobre todo en las laderas de los Pirineos, donde fue ""muy valorada por los comerciantes de caballos y por los ganaderos"", según Bernard Sénac-Lagrange (anuario de 1927). Las cualidades que lo distinguen de otros tipos de perros de los Pirineos le valieron un anexo al estándar de la raza en la década de 1920. En definitiva, el Pastor de los Pirineos de Cara Rasa tiene las mismas características que la variedad de pelo largo. Los rasgos distintivos son el cráneo, que es casi tan ancho como largo, y el hocico, que es un poco más corto que el cráneo, pero más largo que las variedades de cara rugosa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Francia,Pequeño,12–15 años,Seguro,Alegre,,,,,,,,Necesita poco entrenamiento,,Requiere muchos cuidados,Necesita mucho ejercicio,
Pastor De Shetland,https://cdn.royalcanin-weshare-online.io/umnnsmoBG95Xk-RBB_Z1/v1/bd295bl-hub-shetland-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores de Shetland son perros de trabajo pequeños, de pelo largo y de gran belleza. Su pelaje abundante, su inteligencia, su paciencia y su expresión dócil lo convierten en un perro de familia ideal. Los perros de esta pequeña raza son despiertos, dóciles, fuertes y activos, además de cariñosos y atentos con su familia, aunque también algo tímidos con los extraños. Los Pastores de Shetland son famosos por su gran apego hacia su familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–14 años,Cariñoso,Alerta,Dócil,Inteligente,Alegre,Obediente,,,Paciente con niños y otros animales,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Pekinés,https://cdn.royalcanin-weshare-online.io/HiIrx2oBaxEApS7Lbhxn/v1/bd91bl-hub-pekingese-adult-standing?w=320&fm=jpg&auto=compress,"Estos pequeños perros son intrépidos, fieles y relativamente distantes. El pekinés tiene un carácter equilibrado, pero puede mostrarse algo tímido con los recién llegados hasta que los conoce. Una vez que se siente plenamente aceptado, se hace amigo de todos.  Los machos suelen ser siempre más ligeros que las hembras, aunque ambos son más pesados de lo esperado por su tamaño. El pekinés se caracteriza por sus huesos pesados y su cuerpo robusto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, China,Pequeño,12–15 años,Inteligente,Seguro,Leal,Tímido,,,,,Un gran perro para una familia,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Pequeño Lebrel Italiano,https://cdn.royalcanin-weshare-online.io/FSImx2oBaxEApS7LrRwH/v1/bd77bl-hub-italian-greyhound-adult-sitting?w=320&fm=jpg&auto=compress,"Los pequeños lebreles italianos están llenos de gracia y distinción, cualidades que llevan desde la última década granjeándoles el afecto de cada vez más personas. Aunque se trata casi exclusivamente de un perro de compañía, los pequeños lebreles italianos son auténticos galgos, lo que salta a la vista fácilmente cuando se mueven. Su marcha es elástica y armoniosa, de rápido galope. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Italia,Pequeño,12–15 años,Alegre,Cariñoso,Tranquilo,Atlético,,,,,Un gran perro para una familia,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Pequeño Perro León,https://cdn.royalcanin-weshare-online.io/ivrYsmoBIYfdNSoCSxh0/v1/bd244bl-hub-lowchen-little-lion-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los lowchen son muy obedientes y cariñosos con el hombre. Son perros atentos y receptivos que se encuentran cómodos en todas las circunstancias, pero tranquilos y discretos cuando se les dan órdenes. Su mirada franca y amorosa expresa interés, como si estuvieran tratando de entender lo que se espera de ellos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Francia,Pequeño,12–15 años,Cariñoso,Alerta,Alegre,Afable,Dócil,Tranquilo,Jardín no esencial,,,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Perro De Granja Danés Y Sueco,https://cdn.royalcanin-weshare-online.io/G_ouxWoBIYfdNSoCShm_/v1/bd175bl-hub-danish-swedish-farmdog-adult-standing?w=320&fm=jpg&auto=compress,"Esta raza robusta y típicamente escandinava tiene muchas habilidades, por lo que es adecuada para actividades tan diversas como la búsqueda y rescate en zonas afectadas por catástrofes o el pastoreo de ganado. Su morfología recuerda a la de algunos de los Terriers más destacados, como el Jack Russell o el Fox Terrier. El Perro de Granja Danés y Sueco puede realizar tareas tan diversas como custodiar propiedades, cazar ratas o brindar compañía. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Dinamarca,Pequeño,10–15 años,Alerta,Cariñoso,Alegre,Afable,Inteligente,Tranquilo,Jardín no esencial,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,,
Pinscher Miniatura,https://cdn.royalcanin-weshare-online.io/GyIpx2oBaxEApS7LnRyi/v1/bd86bl-hub-miniature-pinscher-adult-standing?w=320&fm=jpg&auto=compress,"Los pinschers miniatura son una versión más pequeña de los pinschers alemanes pero no presentan ningún signo de enanismo. Estos perros elegantes y de pelo liso son intrépidos y animados, y muestran poca conciencia de su pequeño tamaño. Estos perros desarrollan fuertes vínculos con sus propietarios y se habitúan fácilmente a hogares de personas solteras, parejas o familias con niños mayores. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Alemania,Pequeño,10–14 años,Alegre,Entusiasta,Seguro,Equilibrado,,,,,,,,Requiere muchos cuidados,,Un gran perro guardián
Podenco Portugués,https://t2.ea.ltmcdn.com/es/razas/9/1/0/podenco-portugues_19_0_600.webp,"El podenco portugués es un perro de tamaño mediano bien proporcionado, con buenos músculos y huesos fuertes. Siempre en movimiento, estos perritos alegres son resistentes y poco exigentes. Se crían para trabajar en cualquier tipo de terreno, aunque también son excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Portugal,Pequeño,12–14 años,Alegre,Inteligente,Alerta,,,,,,Dócil con los niños,,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Pumi,https://cdn.royalcanin-weshare-online.io/JCItx2oBaxEApS7LrxxB/v1/bd97bl-hub-pumi-adult-standing?w=320&fm=jpg&auto=compress,"Los pumis son perros de pastoreo alegres que se parecen a los terriers. Son perros excelentes de familia sin ninguna dificultad para adaptarse a la vida en el interior, aunque necesitan mucho ejercicio.  Dicho esto, son perfectos como perros de compañía o perros deportivos. Son ágiles, atrevidos e inteligentes y tienen una energía ilimitada para la diversión. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Hungría,Pequeño,12–14 años,Afable,Leal,Sociable,,,,Jardín no esencial,,Un gran perro para una familia,Requiere mucho entrenamiento,,,,
Ratonero Holandés,https://upload.wikimedia.org/wikipedia/commons/1/19/Hollandsche_smoushonden_2.JPG,"Aunque no se conoce con certeza el origen del Ratonero Holandés, se cree que el Schnauzer amarillo fue una de las razas que se utilizaron en el cruce. Un comerciante de perros de Ámsterdam los vendía como ""perros de establo para caballeros"". Pronto empezaron a llamarlos ""smous"", que en holandés significa 'de barba gruesa'. El Ratonero Holandés es cariñoso, alegre y muy seguro de sí mismo. No es ni demasiado ansioso ni hiperactivo, y no tiene tendencia a ladrar, por lo que es un muy buen perro de familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Países Bajos,Pequeño,12–15 años,Cariñoso,Alerta,Independiente,Afable,Inteligente,Sensible,,,Un gran perro para una familia,,,Requiere cuidados mínimos,Necesita mucho ejercicio físico y mental,
Schipperke,https://cdn.royalcanin-weshare-online.io/Pvovx2oBIYfdNSoCQxnX/v5/bd102bl-hub-schipperke-adult-standing?w=320&fm=jpg&auto=compress,"Los Schipperkes son pequeños perros pastores con una constitución compacta. Su pelaje es muy distintivo, con el pelo liso formando crines y volantes. Sus rasgos finos, junto con su curiosidad de perro pastor y su tamaño, explican su gran popularidad más allá de Bélgica.  Estos excepcionales perros demuestran un gran afecto por sus familias, pero pueden ser distantes con los extraños, lo que los convierte en populares perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Bélgica,Pequeño,13–15 años,Alegre,Ágil,Alerta,Protector,Dócil,,,,Un gran perro para una familia,,,Requiere muchos cuidados,Necesita mucho ejercicio,
Schnauzer Miniatura,https://cdn.royalcanin-weshare-online.io/L_opx2oBIYfdNSoCzhku/v1/bd87bl-hub-miniature-schnauzer-adult-standing?w=320&fm=jpg&auto=compress,"Un schnauzer de pies a cabeza, con el temperamento y comportamiento de un pequeño perro. Su inteligencia, resistencia y afán de protección hacen de los schnauzers miniatura unos excelentes animales de compañía, pacientes con los niños y los otros animales de la casa. Su capacidad de adaptación hace que se adapte fácilmente a una nueva familia y a la vida en un apartamento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Alemania,Pequeño,12–15 años,Obstinado,Inteligente,Seguro,Alerta,Equilibrado,,,,Un gran perro para una familia,,,Necesita cuidados moderados,,
